title,genre,publ_place,publ_year
A lőcsei fehér asszony,regény,Budapest,1885
Az arany ember,dráma,Budapest,1885
A cigánybáró,regény,Budapest,1885
A kiskirályok,regény,Budapest,1886
Fekete gyémántok,dráma,Budapest,1886
Életemből. Igaz történetek. Örök emlékek. Humor. Útleírás,,Budapest,1886
Még egy csokrot,elbeszélés,Budapest,1886
Koronát szerelemért,,Budapest,1886
A Maglay család. A ki holta után áll bosszút. Két elbeszélés,elbeszélés,Budapest,1887
Keresd a szived,dráma,Budapest,1887
A három márványfej,regény,Budapest,1887
Olympi verseny. Ábrándkép a budapesti nemzeti színház ötven éves fennállásának ünnepére,,Budapest,1887
"Gr. Benyovszky Móricz életrajza. Saját emlékiratai és útleírásai. Képekkel, térképekkel, autographokkal sat.",,Budapest,1887–88
Jocus és Momus,,Budapest,1888
Lenczi Fráter,regény,Budapest,1888
Utazás egy sírdomb körül,,Budapest,1889
"Aki a szivét a homlokán hordja. Rege, regény és való",regény,Budapest,1889
A lélekidomár,regény,Budapest,1888–1889
A tengerszemű hölgy,regény,Budapest,1890
Gazdag szegények,regény,Budapest,1890
"Thespis kordéja, vagy a földön járó csillagok",,Budapest,1890
Napraforgók. Újabb elbeszélések,elbeszélés,Budapest,1890
Nincsen ördög,regény,Budapest,1891
Fekete vér,regény,Budapest,1892
Rákóczy fia,regény,Budapest,1892
Mesekönyv,,Budapest,1892
Két menyegző,elbeszélés,Budapest,1892
Jókai Mór meséskönyve,,Budapest,1892
Házasság éhségből és egyéb elbeszélések,elbeszélés,Budapest,1893
Vén emberek nyara és egyéb elbeszélések,elbeszélés,Budapest,1893
Kétszer kettő négy és egyéb elbeszélések,elbeszélés,Budapest,1893
Sárga rózsa,regény,Budapest,1893
Fráter György,regény,Budapest,1893
A két Trenk,regény,Budapest,1893
Színművek,dráma,Budapest,1893
Csataképek a magyar szabadságharczból,,Budapest,1894
Három királyné,,Budapest,1894
Az egyhuszasos leány. Száz leány egy rakáson és egyéb elbeszélések,elbeszélés,Budapest,1894
Magnéta,regény,Budapest,1895
Trenck Frigyes,regény,Budapest,1895
A Kráó,regény,Budapest,1895
