szerzo,count
HERCZEG Ferenc,340
HERCZEG Géza,1
HERNÁDI Gyula,16
HERVAY Gizella,3
HETÉNYI E. dr.,1
HEVES Ferenc,1
HEVESI József,1
HEVESI Lajos,6
HEVESY András,3
HIDAS Antal,754
HOLLÓ Ernő,1
HOLLÓS KORVIN Lajos,7
HORGAS Béla,2
HORVÁT Henrik,1
HORVÁTH Ádám,2
HORVÁTH András,1
HORVÁTH Attila,2
HORVÁTH Béla,9
HORVÁTH Etel,1
HORVÁTH H. Ferdinánd,1
HORVÁTH Imre,12
HORVÁTH István,7
HORVÁTH Janka,2
HORVÁTH József,1
HORVÁTH Ödön,6
HORVÁTH Zoltán Géza,1
HORVÁTH Zsóka,2
HUBAY Jenő,1
HUBAY Miklós,11
HUBER János,1
HUNYADY József,6
HUNYADY Sándor,35
HUSZÁHR Owe,1
HUSZÁR Jolán,1
HUSZÁR Sándor,16
IGAZY János (pseud.),1
IGNÁCZ Rózsa,5
IGNOTUS (Hugo Veigelsberg),20
IJJAS Antal,2
"ILIEŞIU, Justin",1
ILKU Pál,2
ILLÉS Béla,496
ILLÉS Endre,37
ILLÉS Sándor,1
ILLÉSY György,1
ILLYÉS Gyula,1183
INCZÉDY László,1
INDIG Ottó,2
IPOLYI Magda,2
ISMERETLEN,24
ISMERETLEN szerző,2
JAKAB István,1
JAKAB Ödön,10
JAKUS Imre,5
JÁKY Rezső,2
JÁMBOR László,2
JÁMBOR Pál,19
JANCSÓ Miklós,1
JANIKOVSZKY Éva,4
JANKOVICH Ferenc,14
JÁNOSY István,7
JANUS PANNONIUS,386
JÁRAY János,1
"JASPERT, Reinhard",1
JÁSZKÜRTI Gábor,1
JÁVOR László,5
JÁVOR Pál,11
JÉKELY Zoltán,77
JÉKEY Aladár,2
JESZENSZKY Damo (Temérdek),1
JO Mihály,4
JÓB Dániel,1
JOBBÁGY Károly,12
JÓKAI Anna,6
JÓKAI Mór,1687
JÓSIKA Miklós,33
JÓZSEF Attila,3836
JÓZSEF Farkas,1
JÓZSEF Jolán,3
JUHÁSZ Ferenc,205
JUHÁSZ Gyula,610
JUST Béla,15
JUSTH Zsigmond,5
KABOS Ede,1
KACZÉR Illés,8
KÁDÁR Erzsébet,1
KÁDÁR Imre,3
KADOCSA Elek,1
KAFFKA Margit,49
KAKAS Márton,1
KÁKAY Aranyos (Ábrányi Kornél ifj.),1
KALÁSZ Márton,18
KÁLDOR Márton,1
KÁLLAI István,4
KÁLLAY Miklós,3
KÁLMÁN Jenő,1
KÁLMÁN M.,1
KÁLMÁN Sándor,1
KALMÁR Rudolf,1
KÁLNOKI Izidor,1
KÁLNOKY László,20
KALOCSAY Kálmán,25
KAMJÉN István,2
KAMONDY László,13
KANIZSAY Ferenc,1
KANNÁS Lajos,3
KÁNTOR Zsuzsa,4
KÁNYÁDI Sándor,13
KAPOS Ferenc,1
KAPY Béla,1
KARÁCSONY Benő,6
KARASZKY-CSABY Ödön,2
KARCZAG István,8
KARCZAG Vilmos,3
KARDOS Éva,1
KARDOS G. György,8
KARDOS György,6
KARIKÁS Frigyes,43
KARINTHY Ferenc,55
KARINTHY Frigyes,652
KÁRMÁN József,6
KARNER Ágoston,3
KÁROLY Sándor,1
KÁROLYI Amy,20
KÁROLYI Mihályné,1
KÁRPÁTI Aurél,5
KÁRPÁTI Endre,6
KASSAI Ferenc,1
KASSAI Géza,1
KASSÁK Lajos,421
KATKÓ István,2
KATONA Gyula,2
KATONA Ilona,1
KATONA József,21
KAZÁR Emil,1
KAZINCZY Ferenc,111
KECSKEMÉTI VÉG Mihály,3
KEÉR Dezső,1
KÉKESDI Gyula,1
KÉKVÖLGYI Vilmos,1
KELECSÉNYI Gabriella,1
KELEMENFFY László,1
KELETI Artúr,7
KELETI Béla,1
KELETI Márton,2
KEMECHEY Jenő,2
KEMENCZKY Judit,4
KEMÉNY György,7
KEMÉNY János,2
KEMÉNY Simon,10
KEMÉNY Zsigmond,4
KÉMERI Sándor,1
KÉPES Géza,26
KÉPLAKI Vilma,2
KEREKESHÁZY József,2
KERÉNYI Frigyes,5
KERÉNYI Grácia,3
KERESZTES Ágnes,3
KERESZTURI Dezső,1
KERESZTURY Sándor,4
KERESZTURYNÉ (DIAMANDI) Viktória,3
KERPEL (CLAUDIUS) Eugen,2
KERTBENY Károly Mária,2
KERTÉSZ Ákos,10
KERTÉSZ Erzsébet,2
KERTÉSZ Magda,2
KERTÉSZ Róbert,2
KÉRY László,1
KESZI Imre,9
KESZTHELYI Zoltán,6
KÉZAI Simon,1
KIBÉDI Sándor,2
KIBÉDI-VARGA Áron,2
KINCS István,7
KIRÁLY Dezső,2
KIRÁLY Gizella,1
KIRÁLY István,2
KIRÁLY László,3
KIRÁLYHEGYI Pál,1
KIS Ferenc,5
KIS János,3
KIS Sándor,1
KISFALUDI János,1
KISFALUDY Atala,5
KISFALUDY Károly,131
KISFALUDY Sándor,169
KISHONT Ferenc,2
KISS Anna,11
KISS Dénes,3
KISS Ferenc,1
KISS Ida,1
KISS Jenő,92
KISS József,236
KISS Menyhért,3
KISS Tamás,2
KISTELEKY Ede,2
KLEIN István József,2
KOBOR Tamás,12
KOCSIS Gábor,2
KOCSIS László,2
KODOLÁNYI János,21
KOHÁRY István,2
KÖLCSEY Ferenc,128
KOLMÁR József,1
KOLOSI K. Sándor,7
KOLOZSVÁRI GRANDPIERRE Emil,30
KOLTAY Jenő,1
KOMÁROMI János,10
KOMJÁT Aladár,30
KOMJÁTHY Aladár,1
KOMJÁTHY Jenő,23
KOMLÓS Aladár,6
KOMÓCSY József,15
KOMOR András,1
KONCZ Károly,9
KÖNCZÖL Antal,2
KONDOR László,1
KÖNNYŰ László,55
KONRÁD György,12
KÓNYA Lajos,38
KÓOSA S. Antal,1
KORCSMÁROS Pál,2
KORDA Béla,1
KOREN Emil,2
KÖRMENDI Ferenc,80
KORMOS Gyula,1
KORMOS István,25
KORODA Pál,10
KOROMPAI József,1
KÓS Károly,11
KÓSA János,1
KÓSA Rezső,5
KOSÁRYNÉ RÉZ Lola,4
KOSSA István,1
KOSSUTH Lajos,4
KŐSZEGI Imre,7
KOSZTOLÁNYI Dezső,812
KOVÁCS Dezső,2
KOVÁCS György,6
KOVÁCS Gyula,1
KOVÁCS Hermin,2
KOVÁCS Imre,1
KOVÁCS J.(?),3
KOVÁCS Jenő,1
KOVÁCS Rózsa (Páll),1
KOVÁCS Vilmos,42
KOVAI Lőrinc,8
KŐVÁRY György,1
KÖVÉR H. tornai,1
KÖVESI ENDRE,2
KOZMA Andor,30
KOZMA Ilona,1
KRISTÓF Attila,1
KRIZA János,3
KRÚDY Gyula,94
KRÜZSELY Erzsébet,1
KUBA (?),1
KUBÁN Endre,1
KUCZKA Péter,45
KULA György,1
KUN József Jenő,1
KUNCZ Aladár,7
KUNOS András,6
KUNSZERY Gyula,1
KÜRTHY Miklós,1
KUTASI-KOVÁCS Lajos,1
KUTHY Lajos,5
LABÁN Antal,1
LACZKÓ Géza,12
LACZKONÉ dr. KISS Ibolya,2
LADÁNYI Ferenc,3
LADÁNYI Mihály,45
LADÁNYI Rezső,1
LAKATOS László,10
LAKATOS Menyhért,2
LAKNER Sándor,2
LAKOS Lajos,1
LÁM Frigyes,1
LAMPÉRTH Géza,5
LÁNG György,1
LÁNG Jenő,1
LÁNYI Sarolta,44
LÁSZLÓ Ákos,1
LÁSZLÓ Aladár,1
LÁSZLÓ András,8
LÁSZLÓ Anna,22
LÁSZLÓ Gyula,1
LÁSZLÓ Ibolya,1
LÁSZLÓFFY Aladár,16
LATKÓCZY Mihály,1
LATOR László,13
LAUKA Gusztáv,6
LÁZÁR (Béla),1
LÁZÁR András,1
LÁZÁR Ervin,4
LÁZÁR István,2
LEBOURG Paul & Jean,3
LECHNER Gyula,111
LEFFLER Béla,2
LENDVAI István,1
LENGYEL Balázs,1
LENGYEL Emil,2
LENGYEL Géza,1
LENGYEL Gizella,1
LENGYEL József,90
LENGYEL Menyhért,18
LENGYEL Olga,1
LENGYEL Péter,1
LENKEI Henrik,2
LESTYÁN Sándor,1
LESZLEI Márta,1
LESZNAI Anna,14
LÉTAY Lajos,48
LÉVAI Jenő,2
LÉVAY József,50
LÉVAY Mihály,1
LIGETI Ernő,4
LIGETI Károly,1
LIGETI Kerthen,1
LIGETI Vilma,1
LISZNYAI Kálmán,25
LITHVAY Viktorin,1
LOEW Vilmos N.,5
LÖKKÖS Antal,2
LONDESZ Elek,1
LÓRÁND Lőrinc,1
LÓRÁNT István,1
LŐRINCZ András,1
LŐRINCZ Miklós,1
LŐRINCZY György,1
LOSCHNI A. Mária,1
LOSONCZY László,3
LOVÁSZY Károly,1
LOVÁSZY Márton,1
LOVIK Károly,6
LÖWY Sándor,1
LUKÁCS Béla,3
LUKÁCS György,4
LULOFS M. H.,7
"LUPU, Joan",1
LUX Terka,2
MÁCS József,1
MACSKÁSSY,2
MADÁCH Imre,110
MADÁR Erzsébet,1
MADARASSY L.,1
MADARÁSZ Emil,117
MAGOS Ernő,1
MAGYAR Bálint,1
MAGYARI Lajos,3
MAGYARODI,4
MAILÁTH János,3
MAJOR Nándor,1
MAJOR Ottó,1
MAJOROS István,1
MAJTÉNYI Erik,6
MAJTÉNYI Mihály,14
MAJTHÉNYI Flóra,13
MAJTHÉNYI Mihály,2
MAKAI Emil,4
MAKAI Sándor,6
MAKAY Ida,1
MALOM Lujza,2
MALONYAY Dezső,1
MÁNDI Éva,2
MÁNDY Iván,56
MÁRAI Sándor,99
MARCONNAY Tibor,6
MARÉK Veronika,1
MÁRFFY Oszkár,1
MARGITAY Dezső,1
MARGOCSY József,2
MÁRIÁSSY Judit,1
MARIAY Ödön,5
MÁRK Gyula,1
MÁRKI Zoltán,2
MARKOVITS Rodion,10
MÁRKUS József,2
MÁRKUS Miklós,3
MAROS Antal,1
MAROSI Gyula,1
MAROTHY Jenő,1
MARSALL László,17
MARSCHALKO Lia,1
MÁRTON László,1
MÁTÉ György,4
MÁTÉ Imre,1
MATISZ Pál,1
MÁTYÁS Ferenc,1
MÁTYÁS király,1
MAY-MARCZALI Erzsébet,1
MÉCS László,175
MEDGYES Lajos,2
MEDNYÁNSZKY Alajos báró,1
MEDVECKY Bella,2
MEGYERI Sári,2
MÉHES György,2
MELHA-HILF Paula,1
MÉLIUSZ József,11
MELLER Rózsi,1
MENCZEL Aladár,1
MENTES Mihály,1
MENTOVICH Ferenc,4
MÉRAY HORVÁTH Károly,1
MÉRAY Tibor,4
MÉRY Károly,5
MESTERHÁZI Lajos,46
MÉSZÁROS Ferenc,2
MÉSZÖLY Miklós,30
MEZEI András,25
MEZEI Ernő,2
MEZEY Katalin,6
MIKES György,44
MIKES Kelemen,8
MIKES Margit,1
MIKLÓS Jenő,1
MIKSZÁTH Kálmán,723
MINDSZENTY Gedeon,1
MINDSZENTY József,3
MOCSÁR Gábor,12
MOHOLY NAGY László,1
MOLDOVA György,72
MOLDOVÁN Domokos,1
MOLLINÁRY Gizella,2
MOLNÁR Ákos,2
MOLNÁR E. G.,1
MOLNÁR Ferenc,435
MOLNÁR Gábor,3
MOLNÁR Géza,25
MOLNÁR Gido,1
MOLNÁR Jenő,1
MOLNÁR László,1
MOLNÁR Zoltán,10
MOLTER Károly,3
MOLY Tamás,2
MÓRA Ferenc,326
MÓRA István,1
MORAVETZ Ferenc,1
MÓRICZ Virág,3
MÓRICZ Zsigmond,690
MORVAY Gyula,1
MÜLLER Péter,4
MUNKÁCSI Márton,1
MUNKÁCSI Miklós,1
MUNKÁCSY Kálmán,1
MÜNNICH Ferenc,3
MURAI Károly,7
MURÁNYI KOVÁCS Endre,8
MUSZKÁS Ottó,1
NÁDAI Pál,1
NADÁNYI Zoltán,13
NÁDAS József,2
NÁDAS Péter,1
NÁDAS Sándor,1
NADLER Herbert,1
NÁDLER Pálma,1
NAEVIS Alba,1
NAGY Dániel,2
NAGY E. Margit,1
NAGY Emma,1
NAGY Endre,3
NAGY Gusztáv,1
NAGY Ignác,2
NAGY Imre,2
NAGY István,42
NAGY József,1
NAGY Katalin,3
NAGY Kristóf és Mária,1
NAGY Lajos,276
NAGY László,196
NAGY Miklós,1
NAGY S. József,1
NAGY Sándor,15
NAGY Sándor (K),12
NAGY Zoltán,16
NAGYIVÁNYI Zoltán,2
NAGYKÁSZONY Zoltán,1
NEDECZKY Elek,1
NEMES György,1
NEMES István,1
NEMES László,1
NEMES NAGY Ágnes,93
NÉMETH Andor,10
NÉMETH G.,1
NÉMETH Géza,2
NÉMETH H. István,4
NÉMETH Imre,5
NÉMETH János (Szentirmay Elemér),3
NÉMETH Johanna,1
NÉMETH László,125
NÉMETH Zoltán,1
NEVIS Alba,1
NÓTI Károly,1
NOUVELLES,1
NOVOBÁCZKY Sándor,4
NYÉKI-VÖRÖS Mátyás,1
NYERGES András,2
NYILAS Sámuel,4
NYÍRŐ József,48
NYISZLI Miklós,1
NYULASSY Antal,2
OLÁH Gábor,7
OLÁH Miklós,1
ÖLBEY Irén,2
OLOSZ Lajos,1
ÖLVÉDI László,1
OPOWIADANIA,1
ORAVECZ Imre,31
ORAVECZ Paula,3
ORBÁN Ottó,31
ORBÓK Attila,1
ORCZY Lőrinc,8
ÖRDÖGH Szilveszter,1
ÖRKÉNY István,362
ORMÓDI Bertalan,1
ÖRSI Ferenc,5
ORSZÁGH György,1
ORTUTAY Gyula,1
OSVÁTH Eszter,3
ŐSZ Ferenc,7
OTTLIK Géza,13
ÖVEGES Kálmán,1
P. P.,1
PAJER András,1
PÁJER Antal,1
PÁKH Albert,1
PÁKOLITZ István,3
PÁKOZDY Ferenc,4
PÁKOZS Károly,1
PALÁGYI Lajos,17
PALÁSTI László,4
PÁLL KOVÁCS Rózsa,1
PALLAGI Lajos,1
PÁLÓCZI HORVÁTH Ádám,1
PÁLÓCZI HORVÁTH György,1
PALOTAI Boris,41
PALOTAY Gyula,2
PÁLYI András,1
