szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
DOBOZY Imre,63,https://www.wikidata.org/wiki/Q907225,NA,NA,férfi,1917-10-30,NA,NA,NA,1982-09-23,Budapest,19.040833333,47.498333333,10255347,1050461096
DÖBRENTEI Gábor,21,https://www.wikidata.org/wiki/Q762556,NA,NA,férfi,1785-12-01,Somlószőlős,17.35735,47.170330555,1851-03-28,Buda,19.05,47.466666666,52082359,102443114
DÖBRENTEI Kornél,1,https://www.wikidata.org/wiki/Q987147,NA,NA,NA,1946-11-03,Pestszentimre,NA,NA,NA,NA,NA,NA,NA,NA
DOBROVICH Ágost,1,NA,1897-1945,mokka  Ágoston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOCZI József,5,https://www.wikidata.org/wiki/Q987090,NA,Dóczy,férfi,1863-05-11,Miskolc,20.783333333,48.1,1913-07-01,Budapest,19.040833333,47.498333333,781487522519412e5,NA
DÓCZI Lajos,20,https://www.wikidata.org/wiki/Q238751,NA,Dóczy,férfi,1845-11-27,Sopron,16.583333333,47.683333333,1919-08-27,Budapest,19.040833333,47.498333333,170144716,116151846
DOMOKOS HARAGA Balázs,1,NA,1903-1930,PUBLDATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOMONKOS István,10,"https://www.wikidata.org/wiki/Q106282683
https://www.wikidata.org/wiki/Q908434",NA,"RESOLVE / SEPARATE
DI 1: 1862-1923. 4532-4536
DI 2: 1940- . 68081-68085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DÖMÖTÖR Pál,2,https://www.wikidata.org/wiki/Q987218,NA,NA,férfi,1844-07-15,Baja,18.953611111,46.183333333,1920-09-07,NA,NA,NA,166739946,NA
DORMÁNDY László,6,NA,1898-1967,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DÓZSA Dániel,1,https://www.wikidata.org/wiki/Q987132,NA,NA,férfi,1821-01-30,Makfalva,24.916666666,46.5,1889-09-25,Búzásbesenyő,24.375974,46.438553,166346255,1055489592
DRASKOCZY JÖRG Ilma,1,https://www.wikidata.org/wiki/Q909685,NA,NA,nő,1884-12-03,Máramarossziget,23.894694444,47.930944444,1945-01-21,Temesvár,21.23,45.759722222,NA,NA
DSIDA Jenő,18,https://www.wikidata.org/wiki/Q724203,NA,NA,férfi,1907-05-17,Szatmárnémeti,22.89,47.79,1938-06-07,Kolozsvár,23.559444444,46.78,12329114,121936694
DUDÁS Kálmán,1,https://www.wikidata.org/wiki/Q55130372,NA,NA,férfi,1912-08-27,Kishegyes,19.664444444,45.706944444,1983-07-17,Budapest,19.040833333,47.498333333,NA,NA
DUE LIRE DI NOVELLE,1,NA,NA,RESOLVE nem szerző,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUNAI László,1,NA,NA,NA szlovák kalendárium költemény -- nem feltétlen forditás,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUTKA Ákos,7,https://www.wikidata.org/wiki/Q911793,NA,NA,férfi,1881-09-11,Nagyvárad,21.921111111,47.072222222,1972-12-27,Budapest,19.040833333,47.498333333,5737613,NA
DUTKA Mária,1,NA,1906-1973,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ÉGLY Mihály,2,NA,1865-1918,Gulyás,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGRI Lajos,2,https://www.wikidata.org/wiki/Q710510,NA,"RESOLVE két Egri Lajos van: a 42627-es tétel -- drámairás művészete -- szerzőstül törlendő, a könyv angolul iródott, egy másik Egri Lajostól.",férfi,1888-06-04,Eger,20.374722222,47.898888888,1967-02-07,Amerikai Egyesült Államok,-98.5795,39.828175,81654667,137467281
EGRI Viktor,35,https://www.wikidata.org/wiki/Q14516327,NA,NA,férfi,1898-12-26,Nagyszombat,17.586211111,48.37775,1982-08-06,Pozsony,17.112777777,48.144722222,23481626,NA
EGRY Irén,2,NA,1912-1969,"PUBLDATA mokka 1912- nyitott végű, utsó könyv 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGY János,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELEK Artur,1,https://www.wikidata.org/wiki/Q988703,NA,NA,férfi,1876-02-08,Budapest,19.040833333,47.498333333,1944-04-25,Budapest,19.040833333,47.498333333,65995666,NA
EMŐD Tamás,9,https://www.wikidata.org/wiki/Q989530,NA,NA,férfi,1888-08-11,Berekböszörmény,21.683333333,47.066666666,1938-09-22,Nagyvárad,21.921111111,47.072222222,78114053,1136960090
ENDREFFY János,2,NA,1913-,"RESOLVE Gulyás  a forditások dátumai: Jefte 1929, Manasses 1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENDRŐDI János,5,https://www.wikidata.org/wiki/Q989646,NA,NA,férfi,1756-09-26,Kalocsa,18.985555555,46.533333333,1824-02-27,Kalocsa,18.985555555,46.533333333,121368455,NA
ENDRŐDI Sándor,2,https://www.wikidata.org/wiki/Q989644,NA,NA,férfi,1850-01-16,Veszprém,17.916666666,47.1,1920-11-07,Budapest,19.040833333,47.498333333,61920906,143989030
ENDRŐDY János,1,NA,NA,"RESOLVE nem kell, Endrődi Jánossal összevonandó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENDRŐDY Sándor,119,https://www.wikidata.org/wiki/Q989644,NA,RESOLVE összevonni Endrődi Sándorral EndrődYre nincs találat,férfi,1850-01-16,Veszprém,17.916666666,47.1,1920-11-07,Budapest,19.040833333,47.498333333,61920906,143989030
EÖRSI István,7,https://www.wikidata.org/wiki/Q709356,NA,NA,férfi,1931-06-16,Budapest,19.040833333,47.498333333,2005-10-13,Budapest,19.040833333,47.498333333,19697985,118986201
EÖSZE László,1,NA,NA,"RESOLVE nem szépirodalom, Kodály életrajz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EÖTVÖS József,117,https://www.wikidata.org/wiki/Q469996,NA,NA,férfi,1813-09-03,Buda,19.05,47.466666666,1871-02-02,Pest,19.1,47.5,64044769,118959379
EÖTVÖS Károly,9,https://www.wikidata.org/wiki/Q994550,NA,NA,férfi,1842-03-11,Mezőszentgyörgy,18.277161111,46.992,1916-04-13,Budapest,19.040833333,47.498333333,23022753,122416716
ERDEI Ferenc,2,https://www.wikidata.org/wiki/Q725442,NA,NA,férfi,1910-12-24,Makó,20.478888888,46.22,1971-05-11,Budapest,19.040833333,47.498333333,91399941,119172062
ERDÉLYI János,21,https://www.wikidata.org/wiki/Q740596,NA,NA,férfi,1814-01-01,Nagykapos,22.083333333,48.55,1868-01-23,Sárospatak,21.566111111,48.318888888,12344319,143990187
ERDÉLYI József,122,https://www.wikidata.org/wiki/Q990264,NA,NA,férfi,1896-12-30,Feketebátor,21.804965,46.707037,1978-10-04,Budapest,19.040833333,47.498333333,7776699,102461880
ERDŐDY A.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERDŐDY János,6,https://www.wikidata.org/wiki/Q18753946,NA,NA,férfi,1909-04-02,Budapest,19.040833333,47.498333333,1996-03-23,Szigliget,17.438288888,46.7961,102442995,NA
ERDŐDY Mihály,3,NA,1887-1942,PUBLDATA Gulyás születés de halál nincs vszeg emigrált,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERDŐS Jenő,1,https://www.wikidata.org/wiki/Q18977442,NA,NA,férfi,1912-12-23,Porcsalma,22.568333333000002,47.8825,1981-09-30,Budapest,19.040833333,47.498333333,NA,NA
ERDŐS László,1,https://www.wikidata.org/wiki/Q16519465,NA,NA,férfi,1913-07-20,Budapest,19.040833333,47.498333333,1997-03-27,Budapest,19.040833333,47.498333333,97799186,NA
ERDŐS Renée,16,https://www.wikidata.org/wiki/Q549496,NA,NA,nő,1878-05-07,Érseklél,17.895869,47.75225,1956-07-07,Budapest,19.040833333,47.498333333,88884014,123922658
ERDŐSI Károly,1,NA,1873-1945,Gulyás,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERKEL Ferenc,1,NA,NA,"RESOLVE kivenni a szerzők közül: ő a zeneszerző, a librettista számit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERZSÉBET Királynő,1,https://www.wikidata.org/wiki/Q150782,NA,"RESOLVE ez vszeg Wittelsbach Erzsébet, Ferenc József felesége, tehát nem királynő hanem királyné. Fontosabb, hogy németül irt, nem magyarul. Tény hogy egy magyar költőnő antológiában benne van, de ő azért nem annyira magyar mint Janus Pannonius, aki egy latinul iró horvát, de mégiscsak Hungarus...",nő,1837-12-24,München,11.5755,48.137194444,1898-09-10,Genf,6.15,46.2,72185406,118529897
FÁBIÁN Béla,1,https://www.wikidata.org/wiki/Q73324626,NA,NA,férfi,1889-08-03,Tállya,21.226111111,48.234722222,1966-12-23,San Juan,-66.066666666,18.45,17014107,1179740726
FÁBIÁN Zoltán,32,https://www.wikidata.org/wiki/Q1534803,NA,NA,férfi,1926-01-30,Nyíregyháza,21.716666666,47.95,1983-05-02,Szentendre,19.0725,47.673333333,70284894,1057580406
FÁBRI Péter,3,https://www.wikidata.org/wiki/Q1004514,NA,NA,NA,1953-12-21,Budapest,NA,NA,NA,NA,NA,NA,NA,NA
FALK Zsigmond,4,https://www.wikidata.org/wiki/Q995808,NA,NA,férfi,1870-01-01,NA,NA,NA,1935-02-15,NA,NA,NA,121457418,NA
FALU Tamás,11,https://www.wikidata.org/wiki/Q995882,NA,NA,férfi,1881-11-10,Kiskunfélegyháza,19.85,46.705,1977-07-13,Ócsa,19.225833333,47.293333333,14020674,NA
FALUDI Ferenc,31,https://www.wikidata.org/wiki/Q45121,NA,NA,férfi,1704-03-25,Németújvár,16.323055555,47.059166666,1779-12-18,Rohonc,16.438333333,47.306944444,69053759,120177684
FALUDY György,9,https://www.wikidata.org/wiki/Q725303,NA,NA,férfi,1910-09-22,Budapest,19.040833333,47.498333333,2006-09-01,Budapest,19.040833333,47.498333333,29941476,118686011
FANCHALI Jób Ján kódexből,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FARKAS András,1,https://www.wikidata.org/wiki/Q996137,NA,NA,férfi,1770-04-01,Hódmezővásárhely,20.318888888,46.430277777,1832-09-13,Hódmezővásárhely,20.318888888,46.430277777,81233835,136978606
FARKAS Antal,5,https://www.wikidata.org/wiki/Q996164,NA,NA,férfi,1875-09-13,Szentes,20.257222222,46.651944444,1940-09-28,Budapest,19.040833333,47.498333333,90771611,NA
FARKAS Árpád,4,https://www.wikidata.org/wiki/Q996417,NA,NA,férfi,1944-04-03,Siménfalva,25.1,46.333333333,2021-02-07,NA,NA,NA,38211116,NA
FARKAS Emőd,17,https://www.wikidata.org/wiki/Q28359077,NA,NA,férfi,1866-08-10,Álmosd,21.983333333,47.416666666,1920-09-01,Budapest,19.040833333,47.498333333,12206975,NA
FARKAS György,1,NA,1930,"RESOLVE PUBLDATA ez az egy muve van Gulyas szerint, csak nemetul tud rola. Törlendő?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FARKAS Gyula,1,https://www.wikidata.org/wiki/Q5625574,NA,"Gulyás szerint a regény ""észtül, finnül, németül és svédül is megjelent"" -- nekünk csak a finn van meg; a terjedés a cserkészettel függhet össze -- cserkész könyvsorozatban jelenik meg magyarul, a németet nyilván ő állitja elő.",férfi,1894-09-27,Kismarton,16.518888888,47.845555555,1958-07-12,Göttingen,9.935555555,51.533888888,46886780,118686127
FARKAS Imre,8,https://www.wikidata.org/wiki/Q6008287,NA,NA,férfi,1879-05-01,Debrecen,21.639166666,47.53,1976-03-25,Budapest,19.040833333,47.498333333,121439932,NA
FARKAS Pál,5,https://www.wikidata.org/wiki/Q996352,NA,NA,férfi,1878-01-01,Budapest,19.040833333,47.498333333,1921-01-01,NA,NA,NA,2800526,116409282
FÁY András,350,https://www.wikidata.org/wiki/Q4774,NA,NA,férfi,1786-05-30,Gálszécs,21.65,48.7,1864-07-26,Pest,19.1,47.5,17278550,119208385
FÁY Ferenc,2,https://www.wikidata.org/wiki/Q1004627,NA,NA,férfi,1921-06-20,Pécel,19.341944444,47.491111111,1981-06-10,Toronto,-79.386666666,43.670277777,104222215,NA
FAZEKAS Anna,4,https://www.wikidata.org/wiki/Q996790,NA,NA,nő,1905-11-15,Budapest,19.040833333,47.498333333,1973-01-02,Budapest,19.040833333,47.498333333,36709713,1049818644
FAZEKAS Mihály,22,https://www.wikidata.org/wiki/Q929369,NA,NA,férfi,1766-01-06,Debrecen,21.639166666,47.53,1819-01-01,Debrecen,21.639166666,47.53,5730634,118953753
FEHÉR Ferenc,28,https://www.wikidata.org/wiki/Q997126,NA,NA,férfi,1928-08-03,NA,NA,NA,1989-07-31,NA,NA,NA,101091493,129717916
FEHÉR Kálmán,4,https://www.wikidata.org/wiki/Q997173,NA,NA,férfi,1940-05-14,Csóka,20.139444444,45.938888888,2017-01-08,NA,NA,NA,49067957,NA
FEHÉR Klára,39,https://www.wikidata.org/wiki/Q541966,NA,NA,nő,1922-05-21,Újpest,19.083333,47.566667,1996-09-11,Budapest,19.040833333,47.498333333,15235867,NA
FEHÉR Lajos,1,https://www.wikidata.org/wiki/Q13518653,NA,"RESOLVE szerintem az egyetlen könyve ami itt van nem fikció: ez egy kommunista politikus-újságiró volt, nincs nyoma szépirodalomnak",férfi,1917-12-15,Szeghalom,21.167777777,47.023888888,1981-11-01,Budapest,19.040833333,47.498333333,70237388,NA
FEJES Endre,63,https://www.wikidata.org/wiki/Q743198,NA,NA,férfi,1923-09-15,Budapest VIII. kerülete,19.07012,47.48919,2015-08-25,Budapest,19.040833333,47.498333333,9889996,1156431689
FEJTŐ Ferenc,1,https://www.wikidata.org/wiki/Q701587,NA,"RESOLVE az egyetlen tételünk egy franciául irott riport, törölni",férfi,1909-08-31,Nagykanizsa,16.9975,46.455833333,2008-06-02,Párizs,2.351388888,48.856944444,29533784,119007223
FEKETE Géza,2,NA,1951,PUBLDATA ALIVE a szöveg aminek a forditásáról szó van 1951-ben jelent meg a Szabad Népben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEKETE Gyula,16,https://www.wikidata.org/wiki/Q578065,NA,NA,férfi,1922-02-26,Mezőkeresztes,20.688080555,47.825369444,2010-01-16,Budapest,19.040833333,47.498333333,64418196,NA
FEKETE István,35,https://www.wikidata.org/wiki/Q721759,NA,NA,férfi,1900-01-25,Gölle,18.013588888,46.43485,1970-06-23,Budapest,19.040833333,47.498333333,64131421,119527294
FEKETE Lajos,3,https://www.wikidata.org/wiki/Q998145,NA,NA,férfi,1897-06-25,Szentábrahám község,25.02208,46.363612,1945-04-23,Brassó,25.6,45.65,NA,NA
FEKETE Sándor,1,https://www.wikidata.org/wiki/Q998194,NA,NA,férfi,1927-02-11,Miskolc,20.783333333,48.1,2001-06-11,Budapest,19.040833333,47.498333333,116244478,1089553722
FELEKI László,3,https://www.wikidata.org/wiki/Q998804,NA,NA,férfi,1909-01-09,Szatmárnémeti,22.89,47.79,1989-07-07,Budapest,19.040833333,47.498333333,50535085,NA
FELEKI Sándor,3,https://www.wikidata.org/wiki/Q998821,NA,NA,férfi,1865-10-31,Lovasberény,18.546944444,47.313888888,1940-09-01,Budapest VII. kerülete,19.066666666,47.5,121443541,NA
FELICZIÁN Vilmos,1,https://www.wikidata.org/wiki/Q56389083,NA,Gulyás alapján Frenyó Vilmos,NA,1908-09-27,Budapest,NA,NA,1998-04-27,Budapest,NA,NA,NA,NA
FENÁKEL Judit,1,https://www.wikidata.org/wiki/Q999928,NA,NA,NA,1936-06-25,Budapest,NA,NA,2022-01-13,NA,NA,NA,NA,NA
FENYŐ László,3,https://www.wikidata.org/wiki/Q999860,NA,NA,férfi,1902-11-09,Budapest VI. kerülete,19.06583,47.50369,1945-03-26,Rohonc,16.438333333,47.306944444,88194952,NA
FERENCZY Teréz,3,https://www.wikidata.org/wiki/Q1000598,NA,NA,nő,1823-12-17,Rimaszombat,20.019963888,48.381430555,1853-05-22,Szécsény,19.519444444,48.080833333,NA,NA
FILO Károly,8,NA,1876-1938,"Gulyás -- ennek a szlovák kalendáriumnak a többi szerzőjét is meg kell nézni Gulyásban, az A-D betűknél még nem volt Gulyás pdfem.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLÓRIÁN Tibor,3,https://www.wikidata.org/wiki/Q1002219,NA,NA,férfi,1908-04-12,Selmecbánya,18.893055555,48.458611111,1986-03-06,NA,NA,NA,8744618,NA
FODOR András,25,https://www.wikidata.org/wiki/Q1002257,NA,NA,férfi,1929-02-27,Kaposmérő,17.702430555,46.360111111,1997-06-27,Fonyód,17.5503,46.741188888,114530268,119028794
FODOR Béla,1,NA,1928-1950,PUBLDATA Gulyás,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FODOR József,80,https://www.wikidata.org/wiki/Q1002328,NA,NA,férfi,1898-04-22,Nagyilonda,23.618203,47.327577,1973-10-07,Budapest,19.040833333,47.498333333,43510144,1055155589
FODOR László,17,https://www.wikidata.org/wiki/Q749590,NA,NA,férfi,1898-03-28,Budapest,19.040833333,47.498333333,1978-09-01,Los Angeles,-118.24368,34.05223,49425533,118199854
FÖLDEÁK János,5,https://www.wikidata.org/wiki/Q1005999,NA,NA,férfi,1910-02-20,Budapest,19.040833333,47.498333333,1997-10-19,Budapest,19.040833333,47.498333333,121442761,NA
FÖLDES Imre,2,https://www.wikidata.org/wiki/Q24288195,NA,NA,férfi,1881-09-15,Kaposvár,17.783333333,46.366666666,1958-05-05,Budapest,19.040833333,47.498333333,294088143,128053216
FÖLDES Jolán,51,https://www.wikidata.org/wiki/Q287773,NA,NA,nő,1902-12-20,Kenderes,20.683333333,47.25,1963-10-12,London,-0.1275,51.507222222,49276552,143148745
FÖLDES Mihály,3,https://www.wikidata.org/wiki/Q16519888,NA,NA,férfi,1905-01-06,Budapest,19.040833333,47.498333333,1984-02-20,Budapest,19.040833333,47.498333333,234020917,NA
FÖLDES Pál,1,https://www.wikidata.org/wiki/Q21851936,NA,"nem világos hogy mi ez, de mondjuk a memoár irodalmi kategória -- határeset. a pasas nem iró, viszont tuti ő volt az, wiki emliti hogy partizán volt Brjanszk-ban",férfi,1900-06-04,Mátészalka,22.316666666,47.943055555,1975-07-26,Budapest,19.040833333,47.498333333,164321610,NA
FÖLDES Péter,3,https://www.wikidata.org/wiki/Q1005970,NA,NA,férfi,1916-05-07,Budapest,19.040833333,47.498333333,2005-03-26,Budapest,19.040833333,47.498333333,9204564,126352437
FÖLDES Zoltán,1,https://www.wikidata.org/wiki/Q12356931,NA,NA,férfi,1884-10-15,Csíksomlyó,25.4,46.6,1956-07-28,Budajenő,18.8,47.55,121533865,NA
FÖLDI Lajos,1,NA,1958-1963,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÖLDI Mihály,34,https://www.wikidata.org/wiki/Q12814375,NA,NA,férfi,1894-10-14,Budapest,19.040833333,47.498333333,1943-10-16,Budapest,19.040833333,47.498333333,8627095,1055110984
FORBÁTH Imre,1,https://www.wikidata.org/wiki/Q1002810,NA,NA,férfi,1898-11-17,Böhönye,17.392911111,46.411861111,1967-05-16,Teplice,13.816666666,50.633333333,83713806,NA
FORBÁTH Sándor,3,https://www.wikidata.org/wiki/Q20437043,NA,NA,férfi,1890-04-18,Székesfehérvár,18.416666666,47.2,1964-01-01,London,-0.1275,51.507222222,121533746,102729255
FORRÓ Pál,3,https://www.wikidata.org/wiki/Q33129724,NA,NA,férfi,1884-02-22,Bécs,16.373064,48.20833,1942-01-29,Budapest,19.040833333,47.498333333,107985695,NA
FOTHY János,5,https://www.wikidata.org/wiki/Q90014735,NA,FÓthy,férfi,1893-08-15,Kaposvár,17.783333333,46.366666666,1979-08-25,Budapest,19.040833333,47.498333333,306154002,NA
FÓTI Andor,2,https://www.wikidata.org/wiki/Q1005898,NA,NA,férfi,1907-03-08,Szabadka,19.67,46.098333333,1979-05-16,Budapest,19.040833333,47.498333333,48246549,NA
FRANYÓ Zoltán,3,https://www.wikidata.org/wiki/Q1003600,NA,NA,férfi,1887-07-30,Kismargita,20.823611111,45.269166666,1978-12-29,Temesvár,21.23,45.759722222,66989464,127623094
FRIEDRICH Lajos,3,NA,1897-,Gulyás. A kötet Kukkiva pensas evangelikus magyar szerzők.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÜLÖP Dezső,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÜLÖP János,6,https://www.wikidata.org/wiki/Q1006505,1935-1938,PUBLDATA Gulyásból,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FÜSI József,1,https://www.wikidata.org/wiki/Q16519902,NA,RESOLVE -- esetleges Horváth József,férfi,1909-04-02,Hajmáskér,18.022180555,47.147769444,1960-08-10,Budapest II. kerülete,19.016666666,47.516666666,121470716,NA
FÜST Milán,215,https://www.wikidata.org/wiki/Q721776,NA,NA,férfi,1888-07-17,Budapest,19.040833333,47.498333333,1967-07-26,Budapest,19.040833333,47.498333333,36943924,119289881
GAAL József,1,https://www.wikidata.org/wiki/Q734081,NA,NA,férfi,1811-01-01,Nagykároly,22.47,47.69,1866-02-26,Nagykároly,22.47,47.69,54538863,10248368X
GAÁL Katalin,3,NA,NA,NA kalendárium. de szerb regény -- is. Katalin román férfinév..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAAL Mózes,2,https://www.wikidata.org/wiki/Q1008753,NA,RESOLVE a két Gaál Mózest szétszálazni,férfi,1894-08-12,Budapest,19.040833333,47.498333333,1929-03-13,Budapest,19.040833333,47.498333333,121371340,NA
GAÁL Mózes,5,https://www.wikidata.org/wiki/Q1008749,NA,RESOLVE m f,férfi,1863-08-02,Barót,25.6,46.075,1936-07-12,Budapest,19.040833333,47.498333333,65665747,NA
GAÁL Zsigmond,1,NA,1899-1905,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GÁBOR Andor,124,https://www.wikidata.org/wiki/Q288936,NA,NA,férfi,1884-01-17,Rinyaújnép,17.355080555,46.081819444,1953-01-21,Budapest,19.040833333,47.498333333,77116863,119033887
GÁBOR Zoltán,3,https://www.wikidata.org/wiki/Q1030875,NA,NA,férfi,1937-04-07,Hajdúbagos,21.665188888,47.392680555,1980-06-17,Debrecen,21.639166666,47.53,121371863,NA
GÁDOR Béla,57,https://www.wikidata.org/wiki/Q1030938,NA,NA,férfi,1906-05-22,Nyíregyháza,21.716666666,47.95,1961-01-23,Budapest,19.040833333,47.498333333,73237387,NA
GÁL György Sándor,1,https://www.wikidata.org/wiki/Q1030973,NA,NA,férfi,1907-08-04,Budapest VI. kerülete,19.06583,47.50369,1980-01-15,Budapest,19.040833333,47.498333333,113539756,1052849245
GÁL József,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GÁL László,71,NA,1902–1975,"nincs wikidata, wikipedia egyértelműsitő lapon ez van: Gál László (1902–1975) – költő, műfordító, lapszerkesztő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GALABÁRDI Zoltán,6,https://www.wikidata.org/wiki/Q1007415,NA,NA,férfi,1928-01-20,Nagykutas,16.8,46.933333333,1997-08-15,Budapest,19.040833333,47.498333333,121374897,NA
GALAMBOS Lajos,17,https://www.wikidata.org/wiki/Q1007489,NA,NA,férfi,1929-10-14,Kótaj,21.716666666,48.05,1986-09-15,Nyíregyháza,21.716666666,47.95,100845574,NA
GALAMBOS Margit,1,NA,1920-1934,"NA -- PUBLDATA az egyetlen Galambos Margitról, aki illusztrátor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GALAMBOS Szilveszter,2,https://www.wikidata.org/wiki/Q1007502,NA,NA,férfi,1927-05-24,Budapest,19.040833333,47.498333333,2018-03-13,Budapest,19.040833333,47.498333333,NA,NA
GALGÓCZI Erzsébet,25,https://www.wikidata.org/wiki/Q521149,NA,NA,nő,1930-08-27,Győr,17.634444444,47.684166666,1989-05-20,Győr,17.634444444,47.684166666,73869532,119269856
GÁLL István,4,https://www.wikidata.org/wiki/Q1031064,NA,NA,férfi,1931-12-28,Budapest,19.040833333,47.498333333,1982-10-20,Budapest,19.040833333,47.498333333,13691002,NA
GARA N. és GARA László,1,https://www.wikidata.org/wiki/Q16519945,NA,"RESOLVE N Gara = Nathalie Gara; nincs ok feltetelezni h a regeny magyarul irodott volna. De: Gara Laszlo a BNF-beli lapjan egy csomo francia forditas talalhato. Gara fontos figura. Nathalie Varsoban szuletett, nenm tunik egyaltalan magyarnak. A tetel talan kihuzando? 
https://catalogue.bnf.fr/rechercher.do?index=AUT3&numNotice=11904065&typeNotice=p",férfi,1904-07-17,Budapest,19.040833333,47.498333333,1966-05-09,Párizs,2.351388888,48.856944444,68929410,1125735724
GARAI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GARAI Ferenc,1,NA,NA,NA kalendáriumi szerző,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GARAI Gábor,103,https://www.wikidata.org/wiki/Q248715,NA,NA,férfi,1929-01-27,Budapest,19.040833333,47.498333333,1987-09-09,Budapest,19.040833333,47.498333333,24645458,1145760163
GARAI GÁBOR,69,https://www.wikidata.org/wiki/Q248715,NA,NA,férfi,1929-01-27,Budapest,19.040833333,47.498333333,1987-09-09,Budapest,19.040833333,47.498333333,24645458,1145760163
GARAI János,50,https://www.wikidata.org/wiki/Q1008133,NA,NA,férfi,1913-03-29,NA,NA,NA,1945-01-01,NA,NA,NA,164566253,NA
GARAI Norbert,1,https://www.wikidata.org/wiki/Q5751334,NA,"RESOLVE mokka adat más mint Wikidata: 1896-1949 mokka, 1900-1948 wikidata. Egy vigjátékról van szó, amely vszeg németül iródott, függetlenül attól, hogy kiről van szó. De a mokkás garainak van egy magyar regénye, tehát a szerző éppen lehet magyar.",férfi,1900-01-13,NA,NA,NA,1948-12-24,NA,NA,NA,NA,NA
GARAY János,12,https://www.wikidata.org/wiki/Q4373254,NA,NA,férfi,1812-10-10,Szekszárd,18.703888888,46.355833333,1853-11-05,Pest,19.1,47.5,51724797,143780220
GÁRDONYI Géza,140,https://www.wikidata.org/wiki/Q221903,NA,NA,férfi,1863-08-03,Agárd,18.61666667,47.18333333,1922-10-30,Eger,20.374722222,47.898888888,24643507,12290267X
GÁSPÁR Gyula,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GÁSPÁR Imre,3,https://www.wikidata.org/wiki/Q12767451,NA,NA,férfi,1854-02-24,Nagycsalomja,19.2019,48.0692,1910-08-19,Budapest,19.040833333,47.498333333,121375324,NA
GÁSPÁR Jenő,7,https://www.wikidata.org/wiki/Q1031154,NA,NA,férfi,1894-11-16,Csíkszentlélek,25.85,46.35,1964-12-17,Budapest,19.040833333,47.498333333,121483327,NA
GÁSPÁR Kornél,1,NA,1898,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GÁSPÁR Lóránd,1,https://www.wikidata.org/wiki/Q2580414,NA,"RESOLVE nincs nyoma hogy magyarul irt volna, ill h magyar irásai lettek volna forditva. Ő forditott magyarról.",férfi,1925-02-28,Marosvásárhely,24.559722222,46.549722222,2019-10-09,Párizs,2.351388888,48.856944444,272986024,119395819
GÁSPÁR Margit,2,https://www.wikidata.org/wiki/Q1031172,NA,NA,nő,1905-08-01,Budapest,19.040833333,47.498333333,1994-08-29,Budapest,19.040833333,47.498333333,33472638,1117718271
