szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BARTALIS János,81,https://www.wikidata.org/wiki/Q790870,NA,NA,férfi,1893-07-29,Apáca,25.533116,45.950432,1976-12-18,Kolozsvár,23.559444444,46.78,23995944,1025008715
BARTÓK Lajos,75,https://www.wikidata.org/wiki/Q791040,NA,NA,férfi,1851-05-24,Erdőd,22.883333333,47.633333333,1902-12-31,Budapest,19.040833333,47.498333333,121399672,1067645861
BARTÓKI József,1,https://www.wikidata.org/wiki/Q791047,NA,NA,férfi,1865-11-27,Békéscsaba,21.083333333,46.683333333,1928-07-04,Budapest,19.040833333,47.498333333,121509818,NA
BÁTHORY Nándorné,1,https://www.wikidata.org/wiki/Q853681,NA,NA,nő,1864-04-13,Nagyvárad,21.921111111,47.072222222,1932-01-01,NA,NA,NA,NA,NA
BATIZI András (1540.),1,https://www.wikidata.org/wiki/Q791337,NA,NA,férfi,1515-01-01,Batiz,23.001147,45.778093,1552-01-01,NA,NA,NA,121400336,NA
BÁTORI Miklós,1,https://www.wikidata.org/wiki/Q3313772,NA,NA,férfi,1919-03-24,Bátaszék,18.716666666,46.183333333,1992-02-18,Trappes,2.001666666,48.776666666,15296071,NA
BATSÁNYI János,46,https://www.wikidata.org/wiki/Q572397,NA,NA,férfi,1763-05-09,Tapolca,17.441111111,46.882777777,1845-05-12,Linz,14.283333333,48.3,5087861,119434512
BATTHYÁNY Lajos gróf,1,https://www.wikidata.org/wiki/Q702016,NA,NA,férfi,1807-02-10,Pozsony,17.112777777,48.144722222,1849-10-06,Pest,19.1,47.5,41848955,118850385
BATTHYÁNY-TREFORT Edith,1,NA,1849-1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECK Blanka,2,NA,1902-1945,"ALIVE PUBLDATA az évek BB és Rózsa Miklós házasságát jelzik, nem születéstől, és nem biztos, hogy halálig.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECSKY Irén,1,https://www.wikidata.org/wiki/Q12349385,NA,NA,nő,1900-12-02,Sárközújlak,23.116224,47.844462,1982-01-01,NA,NA,NA,NA,NA
BECZÁSSY Judit,1,https://www.wikidata.org/wiki/Q791799,NA,NA,nő,1888-09-20,Szeged,20.166666666,46.25,1961-02-20,Budapest,19.040833333,47.498333333,84000718,1065010281
BEDE Anna,5,https://www.wikidata.org/wiki/Q13477779,NA,NA,nő,1926-07-14,Budapest,19.040833333,47.498333333,2009-03-30,NA,NA,NA,3905589,NA
BEDE Jób,1,https://www.wikidata.org/wiki/Q791804,NA,NA,férfi,1869-01-08,Szilágysomlyó,22.8,47.23,1919-02-16,Budapest,19.040833333,47.498333333,NA,NA
BÉKEFFI István,1,https://www.wikidata.org/wiki/Q853990,NA,NA,férfi,1901-08-31,Szeged,20.166666666,46.25,1977-06-09,Budapest,19.040833333,47.498333333,74799948,124979599
BÉKÉS Sándor,1,https://www.wikidata.org/wiki/Q854094,NA,NA,NA,1940-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
BÉKÉS Virág,2,NA,1952,PUBLDATA költemény magyarul a Csillag-ban 1952-ben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BÉKESSY János,19,https://www.wikidata.org/wiki/Q216135,NA,"DELETE ? nem világos hogy magyarul irt volna bármit. Hárman a határon át c. regénye magyarul 1937-ben németből lett forditva. 
Szerintem ki kell venni az adatbázisunkból.",férfi,1911-02-12,Budapest,19.040833333,47.498333333,1977-01-01,Locarno,8.799722222,46.166388888,107082302,118544136
BELLA István,1,https://www.wikidata.org/wiki/Q792459,NA,NA,férfi,1940-08-07,Székesfehérvár,18.416666666,47.2,2006-04-20,Budapest,19.040833333,47.498333333,345346,NA
BENCZE Jenő,1,NA,1905-1984,mokka.hu adat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BENCZUR László,2,NA,1915-2008,mokka.hu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BENEDEK Elek,17,https://www.wikidata.org/wiki/Q521014,NA,NA,férfi,1859-09-30,Kisbacon,25.695112,46.103831,1929-08-17,Kisbacon,25.695112,46.103831,120201932,140976116
BENEDEK István,5,https://www.wikidata.org/wiki/Q792780,NA,NA,férfi,1915-01-17,Budapest,19.040833333,47.498333333,1996-06-09,Velence,12.331944444,45.439722222,29669402,118655396
BENEDEK Marcell,1,https://www.wikidata.org/wiki/Q792799,NA,NA,férfi,1885-09-22,Budapest,19.040833333,47.498333333,1969-05-30,Budapest,19.040833333,47.498333333,19699082,119316803
BENICZKY Péter,7,https://www.wikidata.org/wiki/Q792909,NA,NA,férfi,1603-01-01,Nagyszombat,17.586211111,48.37775,1664-02-08,Nagyszombat,17.586211111,48.37775,43890993,1074144813
