author,region1,region2
KÖRMENDI Ferenc,Argentina,Austria
MOLNÁR Ferenc,Argentina,Austria
KÖRMENDI Ferenc,Argentina,Belgium
MOLNÁR Ferenc,Argentina,Belgium
JÓZSEF Attila,Argentina,Belgium
KÖRMENDI Ferenc,Argentina,Brasil
MOLNÁR Ferenc,Argentina,Brasil
JÓKAI Mór,Argentina,Bulgaria
MOLNÁR Ferenc,Argentina,Bulgaria
JÓZSEF Attila,Argentina,Bulgaria
JÓKAI Mór,Argentina,China
JÓZSEF Attila,Argentina,China
JÓZSEF Attila,Argentina,Cuba
JÓKAI Mór,Argentina,Czechoslovakia-cseh
KÖRMENDI Ferenc,Argentina,Czechoslovakia-cseh
MOLNÁR Ferenc,Argentina,Czechoslovakia-cseh
KACZÉR Illés,Argentina,Czechoslovakia-cseh
JÓZSEF Attila,Argentina,Czechoslovakia-cseh
JÓKAI Mór,Argentina,Czechoslovakia-szlovák
MOLNÁR Ferenc,Argentina,Czechoslovakia-szlovák
JÓZSEF Attila,Argentina,Czechoslovakia-szlovák
JÓZSEF Attila,Argentina,Denmark
KÖRMENDI Ferenc,Argentina,Federal Republic of Germany
MOLNÁR Ferenc,Argentina,Federal Republic of Germany
MOLNÁR Ferenc,Argentina,Finland
JÓKAI Mór,Argentina,France
KÖRMENDI Ferenc,Argentina,France
MOLNÁR Ferenc,Argentina,France
JÓZSEF Attila,Argentina,France
JÓKAI Mór,Argentina,GDR
MOLNÁR Ferenc,Argentina,GDR
JÓZSEF Attila,Argentina,GDR
JÓKAI Mór,Argentina,Hungary
MOLNÁR Ferenc,Argentina,Hungary
JÓZSEF Attila,Argentina,Hungary
JÓKAI Mór,Argentina,Israel
MOLNÁR Ferenc,Argentina,Israel
KACZÉR Illés,Argentina,Israel
JÓKAI Mór,Argentina,Italy
KÖRMENDI Ferenc,Argentina,Italy
MOLNÁR Ferenc,Argentina,Italy
JÓZSEF Attila,Argentina,Italy
MOLNÁR Ferenc,Argentina,Japan
MOLNÁR Ferenc,Argentina,Liechtenstein
JÓKAI Mór,Argentina,Mexico
KÖRMENDI Ferenc,Argentina,Netherlands
JÓZSEF Attila,Argentina,Norway
JÓKAI Mór,Argentina,Poland
MOLNÁR Ferenc,Argentina,Poland
JÓZSEF Attila,Argentina,Poland
JÓZSEF Attila,Argentina,Portugal
JÓKAI Mór,Argentina,Romania
MOLNÁR Ferenc,Argentina,Romania
JÓZSEF Attila,Argentina,Romania
JÓKAI Mór,Argentina,Spain
KÖRMENDI Ferenc,Argentina,Spain
MOLNÁR Ferenc,Argentina,Spain
JÓZSEF Attila,Argentina,Spain
JÓKAI Mór,Argentina,Sweden
MOLNÁR Ferenc,Argentina,Sweden
JÓKAI Mór,Argentina,Switzerland
JÓZSEF Attila,Argentina,Switzerland
JÓKAI Mór,Argentina,Turkey
MOLNÁR Ferenc,Argentina,Turkey
JÓKAI Mór,Argentina,USSR-azerbajdzsán
JÓKAI Mór,Argentina,USSR-grúz
MOLNÁR Ferenc,Argentina,USSR-grúz
JÓKAI Mór,Argentina,USSR-lett
MOLNÁR Ferenc,Argentina,USSR-lett
JÓZSEF Attila,Argentina,USSR-lett
JÓKAI Mór,Argentina,USSR-litván
MOLNÁR Ferenc,Argentina,USSR-litván
MOLNÁR Ferenc,Argentina,USSR-moldva
JÓKAI Mór,Argentina,USSR-orosz
MOLNÁR Ferenc,Argentina,USSR-orosz
JÓZSEF Attila,Argentina,USSR-orosz
JÓKAI Mór,Argentina,USSR-tadzsik
JÓKAI Mór,Argentina,USSR-türkmén
JÓKAI Mór,Argentina,USSR-ukrán
MOLNÁR Ferenc,Argentina,USSR-ukrán
JÓZSEF Attila,Argentina,USSR-ukrán
MOLNÁR Ferenc,Argentina,USSR-észt
JÓKAI Mór,Argentina,USSR-örmény
MOLNÁR Ferenc,Argentina,USSR-örmény
KÖRMENDI Ferenc,Argentina,United Kingdom
MOLNÁR Ferenc,Argentina,United Kingdom
KACZÉR Illés,Argentina,United Kingdom
JÓZSEF Attila,Argentina,United Kingdom
KÖRMENDI Ferenc,Argentina,United States
MOLNÁR Ferenc,Argentina,United States
KACZÉR Illés,Argentina,United States
JÓZSEF Attila,Argentina,United States
JÓZSEF Attila,Argentina,Vietnam
JÓKAI Mór,Argentina,Yugoslavia
MOLNÁR Ferenc,Argentina,Yugoslavia
JÓZSEF Attila,Argentina,Yugoslavia
MADÁCH Imre,Australia,Australia
HARSÁNYI Zsolt,Australia,Australia
Dezséry András,Australia,Australia
Urbán János,Australia,Australia
Domahidy András,Australia,Australia
HARSÁNYI Zsolt,Australia,Austria
HARSÁNYI Zsolt,Australia,Belgium
MADÁCH Imre,Australia,Czechoslovakia-cseh
MADÁCH Imre,Australia,Czechoslovakia-szlovák
HARSÁNYI Zsolt,Australia,Federal Republic of Germany
HARSÁNYI Zsolt,Australia,Finland
HARSÁNYI Zsolt,Australia,France
MADÁCH Imre,Australia,Hungary
HARSÁNYI Zsolt,Australia,Israel
MADÁCH Imre,Australia,Italy
HARSÁNYI Zsolt,Australia,Italy
MADÁCH Imre,Australia,Japan
HARSÁNYI Zsolt,Australia,Japan
HARSÁNYI Zsolt,Australia,Netherlands
MADÁCH Imre,Australia,Norway
HARSÁNYI Zsolt,Australia,Norway
MADÁCH Imre,Australia,Poland
MADÁCH Imre,Australia,Romania
HARSÁNYI Zsolt,Australia,Spain
HARSÁNYI Zsolt,Australia,Sweden
HARSÁNYI Zsolt,Australia,Switzerland
MADÁCH Imre,Australia,Turkey
HARSÁNYI Zsolt,Australia,Turkey
MADÁCH Imre,Australia,USSR-grúz
MADÁCH Imre,Australia,USSR-orosz
MADÁCH Imre,Australia,USSR-ukrán
MADÁCH Imre,Australia,United States
HARSÁNYI Zsolt,Australia,Yugoslavia
Urbán János,Australia,Yugoslavia
BALÁZS Béla,Austria,Austria
BALLA Borisz,Austria,Austria
BÓKA László,Austria,Austria
DÉRY Tibor,Austria,Austria
FEKETE István,Austria,Austria
HARSÁNYI Gréte,Austria,Austria
HARSÁNYI Zsolt,Austria,Austria
HÁY Gyula,Austria,Austria
HOLLÓS KORVIN Lajos,Austria,Austria
ILLÉS Béla,Austria,Austria
KEREKESHÁZY József,Austria,Austria
KOMÁROMI János,Austria,Austria
KOVAI Lőrinc,Austria,Austria
MÁRAI Sándor,Austria,Austria
MIKSZÁTH Kálmán,Austria,Austria
ÖRKÉNY István,Austria,Austria
SŐTÉR István,Austria,Austria
SZABÓ Pál,Austria,Austria
SZÉP Ernő,Austria,Austria
UJVÁRY Géza,Austria,Austria
VASZARY Gábor,Austria,Austria
ZILAHY Lajos,Austria,Austria
PASSUTH László,Austria,Austria
GÁRDONYI Géza,Austria,Austria
KÖRMENDI Ferenc,Austria,Austria
KŐVÁRY György,Austria,Austria
MOLNÁR E. G.,Austria,Austria
KRÚDY Gyula,Austria,Austria
FEJES Endre,Austria,Austria
SZÁNTÓ György,Austria,Austria
G. SZABÓ Judit,Austria,Austria
SZÁSZ Imre,Austria,Austria
ILLYÉS Gyula,Austria,Austria
PETŐFI Sándor,Austria,Austria
PILINSZKY János,Austria,Austria
MIKES Kelemen,Austria,Austria
Faludi Ferenc,Austria,Austria
MOLNÁR Ferenc,Austria,Austria
ADY Endre,Austria,Austria
ESTERHÁZY Péter,Austria,Austria
DÉRY Tibor,Austria,Belgium
FEKETE István,Austria,Belgium
HARSÁNYI Zsolt,Austria,Belgium
MIKSZÁTH Kálmán,Austria,Belgium
PASSUTH László,Austria,Belgium
GÁRDONYI Géza,Austria,Belgium
KÖRMENDI Ferenc,Austria,Belgium
FEJES Endre,Austria,Belgium
MOLNÁR Ferenc,Austria,Belgium
PASSUTH László,Austria,Brasil
KÖRMENDI Ferenc,Austria,Brasil
MOLNÁR Ferenc,Austria,Brasil
DÉRY Tibor,Austria,Bulgaria
FEKETE István,Austria,Bulgaria
ILLÉS Béla,Austria,Bulgaria
MIKSZÁTH Kálmán,Austria,Bulgaria
ÖRKÉNY István,Austria,Bulgaria
SZABÓ Pál,Austria,Bulgaria
VASZARY Gábor,Austria,Bulgaria
ZILAHY Lajos,Austria,Bulgaria
GÁRDONYI Géza,Austria,Bulgaria
KRÚDY Gyula,Austria,Bulgaria
SZÁSZ Imre,Austria,Bulgaria
ILLYÉS Gyula,Austria,Bulgaria
PETŐFI Sándor,Austria,Bulgaria
MOLNÁR Ferenc,Austria,Bulgaria
ILLÉS Béla,Austria,Chile
ZILAHY Lajos,Austria,Chile
HÁY Gyula,Austria,China
ILLÉS Béla,Austria,China
MIKSZÁTH Kálmán,Austria,China
SZABÓ Pál,Austria,China
PETŐFI Sándor,Austria,China
GÁRDONYI Géza,Austria,Cuba
PETŐFI Sándor,Austria,Cuba
BÓKA László,Austria,Czechoslovakia-cseh
DÉRY Tibor,Austria,Czechoslovakia-cseh
HÁY Gyula,Austria,Czechoslovakia-cseh
ILLÉS Béla,Austria,Czechoslovakia-cseh
MIKSZÁTH Kálmán,Austria,Czechoslovakia-cseh
ÖRKÉNY István,Austria,Czechoslovakia-cseh
SZABÓ Pál,Austria,Czechoslovakia-cseh
PASSUTH László,Austria,Czechoslovakia-cseh
GÁRDONYI Géza,Austria,Czechoslovakia-cseh
KÖRMENDI Ferenc,Austria,Czechoslovakia-cseh
KRÚDY Gyula,Austria,Czechoslovakia-cseh
FEJES Endre,Austria,Czechoslovakia-cseh
SZÁNTÓ György,Austria,Czechoslovakia-cseh
ILLYÉS Gyula,Austria,Czechoslovakia-cseh
PETŐFI Sándor,Austria,Czechoslovakia-cseh
MOLNÁR Ferenc,Austria,Czechoslovakia-cseh
ADY Endre,Austria,Czechoslovakia-cseh
BALÁZS Béla,Austria,Czechoslovakia-szlovák
DÉRY Tibor,Austria,Czechoslovakia-szlovák
FEKETE István,Austria,Czechoslovakia-szlovák
ILLÉS Béla,Austria,Czechoslovakia-szlovák
MIKSZÁTH Kálmán,Austria,Czechoslovakia-szlovák
ÖRKÉNY István,Austria,Czechoslovakia-szlovák
SZABÓ Pál,Austria,Czechoslovakia-szlovák
PASSUTH László,Austria,Czechoslovakia-szlovák
GÁRDONYI Géza,Austria,Czechoslovakia-szlovák
KRÚDY Gyula,Austria,Czechoslovakia-szlovák
FEJES Endre,Austria,Czechoslovakia-szlovák
ILLYÉS Gyula,Austria,Czechoslovakia-szlovák
PETŐFI Sándor,Austria,Czechoslovakia-szlovák
MOLNÁR Ferenc,Austria,Czechoslovakia-szlovák
ADY Endre,Austria,Czechoslovakia-szlovák
DÉRY Tibor,Austria,Denmark
MÁRAI Sándor,Austria,Denmark
