id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
2013,"Balassa Iván; Ortutay Gyula","Engl Géza","Ungarische Volkskunde",German,Germany,1982,München,Beck,"868 p. ill. maps",Hungarian,,"Magyar néprajz",,,,,
2014,"Boglár Lajos","Weissling Heinrich","Wahari: e. südamerikan. Urwaldkultur",German,Germany,1982,"Hanau am Main","Müller & Kiepenheuer","231 p. ill.",Hungarian,,,,,,,
2015,"Konrád György; Szelényi Iván","Paetzke Hans-Henning","Die Intelligenz auf dem Weg zur Klassenmacht",German,Germany,1981,"Frankfurt am Main",Suhrkamp,"399 p.",Hungarian,,"Az értelmiség útja az osztályhatalomhoz",,,,,
2016,"Pikler Emmi","Schönwald Eva","Friedliche Babys - zufriedene Mütter: pädag. Ratschläge e. Kinderärztin",German,Germany,1982,"Freiburg im Breisgau",Herder,"222, 61 p. ill.",Hungarian,,"Mit tud már a baba?",,,,,
2017,"Flesch János","Tomor Béla","Schachtaktik für jedermann: Beispiele mit 303 Diagr. für Anfänger u. Fortgeschrittene, Weiterbildung zu Hause",German,Germany,1982,Stuttgart,Franckh,"152 p. ill.",Hungarian,,,,,,,
2018,"Rácz Endre; Ruzsa György","Alpári Tilda","Nowgorod, Pleskau und der russische Norden",German,Germany,1981,"Hanau am Main",Dausien,"67, 136 p. ill.",Hungarian,,"Novgorod, Pszkov és az orosz Észak",,,,,
2019,"Miklós Pál","Thierry Heribert","Chinesische Malerei: Geschichte, Technik, Theorie",German,Germany,1982,Köln,Böhlau,"304 p. ill.",Hungarian,,"A sárkány szeme bevezetés a kinai piktúra ikonográfiájába",,,,,
2020,"Merényi Zsuzsa L.","Büchel Veith; Büchel-Spitzkowsky Ina","Methodik des klassischen Tanzes...",German,Germany,1981,Wilhelmshaven,Heinrichshofen,"722 p. ill.",Hungarian,"5. ed.",,,,,,
2021,"Csapodi Gardonyi Klára","Gottschlig Franz","Europäische Buchmalerei",German,Germany,1982,Gütersloh,Prisma-Verlag,"57, 204 p. ill.",Hungarian,,"Európai kódexfestó müvészet",,,,,
2022,"Barcsay Jenő","Faragó Ádám; et al.","Anatomie für Künstler",German,Germany,1981,Wiesbaden,Vollmer,"265, cxlii p. ill.",Hungarian,"7. ed.","Müvészeti anatómia",,,,,
2023,"Bolla Kálmán","Varga László","A conspectus of Russian speech sounds",English,Germany,1981,Köln,Böhlau,"160, 158 p. ill.",Hungarian,,,,,,,
2024,"Dalos György",,"Neunzehenhunderfünfundachtzig: e. histor. Bericht (Honkong 2036)",German,Germany,1982,Berlin,Rotbuch-Verlag,"124 p.",Hungarian,,,,,,,
2025,"Dezső László","Flook David; Hollósy Béla","Typological studies in old Servo-Croatian syntax",English,Germany,1982,Köln,Böhlau,"392 p.",Hungarian,,,,,,,
2026,"Esterházy Péter","Paetzke Hans-Henning",Agnes,German,Germany,1982,"Berlin; Berlin","Berliner Künstlerprogramm des DAAD; Literarisches Colloquium","102 p.",Hungarian,,Ágnes,,,,,
