author,region1,region2
MOLNÁR Ferenc,Albania,USSR-grúz
PETŐFI Sándor,Albania,USSR-kazah
PETŐFI Sándor,Albania,USSR-kirgiz
PETŐFI Sándor,Albania,USSR-lett
NÉMETH László,Albania,USSR-lett
JÓZSEF Attila,Albania,USSR-lett
MÓRICZ Zsigmond,Albania,USSR-lett
PETŐFI Sándor,Albania,USSR-litván
NÉMETH László,Albania,USSR-litván
MÓRICZ Zsigmond,Albania,USSR-litván
MOLNÁR Ferenc,Albania,USSR-litván
PETŐFI Sándor,Albania,USSR-moldva
MOLNÁR Ferenc,Albania,USSR-moldva
MESTERHÁZI Lajos,Albania,USSR-orosz
PETŐFI Sándor,Albania,USSR-orosz
NÉMETH László,Albania,USSR-orosz
JÓZSEF Attila,Albania,USSR-orosz
MÓRICZ Zsigmond,Albania,USSR-orosz
MURÁNYI KOVÁCS Endre,Albania,USSR-orosz
MOLNÁR Ferenc,Albania,USSR-orosz
PETŐFI Sándor,Albania,USSR-tadzsik
PETŐFI Sándor,Albania,USSR-türkmén
PETŐFI Sándor,Albania,USSR-udmurt
MESTERHÁZI Lajos,Albania,USSR-ukrán
PETŐFI Sándor,Albania,USSR-ukrán
NÉMETH László,Albania,USSR-ukrán
JÓZSEF Attila,Albania,USSR-ukrán
MÓRICZ Zsigmond,Albania,USSR-ukrán
MOLNÁR Ferenc,Albania,USSR-ukrán
MESTERHÁZI Lajos,Albania,USSR-észt
PETŐFI Sándor,Albania,USSR-észt
NÉMETH László,Albania,USSR-észt
MÓRICZ Zsigmond,Albania,USSR-észt
MOLNÁR Ferenc,Albania,USSR-észt
PETŐFI Sándor,Albania,USSR-örmény
MÓRICZ Zsigmond,Albania,USSR-örmény
MOLNÁR Ferenc,Albania,USSR-örmény
PETŐFI Sándor,Albania,USSR-üzbég
NÉMETH László,Albania,USSR-üzbég
PETŐFI Sándor,Albania,Vietnam
JÓZSEF Attila,Albania,Vietnam
MÓRICZ Zsigmond,Albania,Vietnam
PETŐFI Sándor,Albania,Yugoslavia
NÉMETH László,Albania,Yugoslavia
JÓZSEF Attila,Albania,Yugoslavia
MÓRICZ Zsigmond,Albania,Yugoslavia
MOLNÁR Ferenc,Albania,Yugoslavia
JÓKAI Mór,Argentina,Argentina
KÖRMENDI Ferenc,Argentina,Argentina
MOLNÁR Ferenc,Argentina,Argentina
KACZÉR Illés,Argentina,Argentina
JÓZSEF Attila,Argentina,Argentina
DÉRY Tibor,Argentina,Argentina
KÖRMENDI Ferenc,Argentina,Austria
MOLNÁR Ferenc,Argentina,Austria
DÉRY Tibor,Argentina,Austria
KÖRMENDI Ferenc,Argentina,Belgium
MOLNÁR Ferenc,Argentina,Belgium
JÓZSEF Attila,Argentina,Belgium
DÉRY Tibor,Argentina,Belgium
KÖRMENDI Ferenc,Argentina,Brasil
MOLNÁR Ferenc,Argentina,Brasil
JÓKAI Mór,Argentina,Bulgaria
MOLNÁR Ferenc,Argentina,Bulgaria
JÓZSEF Attila,Argentina,Bulgaria
DÉRY Tibor,Argentina,Bulgaria
MOLNÁR Ferenc,Argentina,Colombia
JÓZSEF Attila,Argentina,Cuba
JÓKAI Mór,Argentina,Czechoslovakia-cseh
KÖRMENDI Ferenc,Argentina,Czechoslovakia-cseh
MOLNÁR Ferenc,Argentina,Czechoslovakia-cseh
KACZÉR Illés,Argentina,Czechoslovakia-cseh
JÓZSEF Attila,Argentina,Czechoslovakia-cseh
DÉRY Tibor,Argentina,Czechoslovakia-cseh
JÓKAI Mór,Argentina,Czechoslovakia-szlovák
MOLNÁR Ferenc,Argentina,Czechoslovakia-szlovák
JÓZSEF Attila,Argentina,Czechoslovakia-szlovák
DÉRY Tibor,Argentina,Czechoslovakia-szlovák
JÓZSEF Attila,Argentina,Denmark
DÉRY Tibor,Argentina,Denmark
KÖRMENDI Ferenc,Argentina,Federal Republic of Germany
MOLNÁR Ferenc,Argentina,Federal Republic of Germany
DÉRY Tibor,Argentina,Federal Republic of Germany
MOLNÁR Ferenc,Argentina,Finland
DÉRY Tibor,Argentina,Finland
JÓKAI Mór,Argentina,France
KÖRMENDI Ferenc,Argentina,France
MOLNÁR Ferenc,Argentina,France
JÓZSEF Attila,Argentina,France
DÉRY Tibor,Argentina,France
JÓKAI Mór,Argentina,GDR
MOLNÁR Ferenc,Argentina,GDR
JÓZSEF Attila,Argentina,GDR
DÉRY Tibor,Argentina,GDR
JÓKAI Mór,Argentina,Hungary
MOLNÁR Ferenc,Argentina,Hungary
JÓZSEF Attila,Argentina,Hungary
JÓKAI Mór,Argentina,Israel
MOLNÁR Ferenc,Argentina,Israel
KACZÉR Illés,Argentina,Israel
JÓKAI Mór,Argentina,Italy
KÖRMENDI Ferenc,Argentina,Italy
MOLNÁR Ferenc,Argentina,Italy
JÓZSEF Attila,Argentina,Italy
DÉRY Tibor,Argentina,Italy
MOLNÁR Ferenc,Argentina,Japan
MOLNÁR Ferenc,Argentina,Liechtenstein
JÓKAI Mór,Argentina,Mexico
DÉRY Tibor,Argentina,Mexico
KÖRMENDI Ferenc,Argentina,Netherlands
DÉRY Tibor,Argentina,Netherlands
JÓZSEF Attila,Argentina,Norway
DÉRY Tibor,Argentina,Norway
JÓKAI Mór,Argentina,PR China
JÓZSEF Attila,Argentina,PR China
JÓKAI Mór,Argentina,Poland
MOLNÁR Ferenc,Argentina,Poland
JÓZSEF Attila,Argentina,Poland
DÉRY Tibor,Argentina,Poland
JÓZSEF Attila,Argentina,Portugal
DÉRY Tibor,Argentina,Portugal
JÓKAI Mór,Argentina,Romania
MOLNÁR Ferenc,Argentina,Romania
JÓZSEF Attila,Argentina,Romania
DÉRY Tibor,Argentina,Romania
JÓKAI Mór,Argentina,Spain
KÖRMENDI Ferenc,Argentina,Spain
MOLNÁR Ferenc,Argentina,Spain
JÓZSEF Attila,Argentina,Spain
DÉRY Tibor,Argentina,Spain
JÓKAI Mór,Argentina,Sweden
MOLNÁR Ferenc,Argentina,Sweden
DÉRY Tibor,Argentina,Sweden
JÓKAI Mór,Argentina,Switzerland
JÓZSEF Attila,Argentina,Switzerland
JÓKAI Mór,Argentina,Turkey
MOLNÁR Ferenc,Argentina,Turkey
DÉRY Tibor,Argentina,Turkey
